Libellé de la branche code de la branche en A17 Région;Agriculture, sylviculture et pêche AZ;Industries manufacturières, industries extractives et autres =DE+C1+C2+C3+C4+C5;Industries extractives, énergie, eau, gestion des déchets et dépollution DE;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac C1;Cokéfaction et raffinage C2;"Fabrication  d'équipements électriques, informatiques ; fabrication de machines C3";Fabrication de matériels de transport C4;Fabrication d'autres produits industriels C5;Construction FZ;Commerce de gros et de détail, transports, hébergement et restauration =GZ+HZ+IZ;"Commerce ; réparation d'automobiles et de motocycles GZ";Transport et entreposage HZ;Hébergement et restauration IZ;Information et communication JZ;Activités financières et d'assurance KZ;Activités immobilières LZ;"Activités scientifiques et techniques ; services administratifs et de soutien MN";Administration publique, enseignement, santé humaine et action sociale OQ;Autres activités de services RU;Total
Bretagne;2816,341958407;12543,322851120;1422,661602384;5019,404667958;2,954534223;1263,150877243;570,562266991;4264,588902320;5371,866577504;13794,858355144;8276,579954859;3076,607114679;2441,671285605;3889,008057676;2640,403499141;11075,390987048;8017,052478476;20703,068840485;2505,916733088;83357,230338088
Centre-Val de Loire;1343,032720827;12091,249263632;2119,602010778;1579,691090152;0;1637,132850546;704,960033360;6049,863278795;3943,699285053;10554,035207939;6142,039615687;3022,681763781;1389,313828471;1668,119643943;2239,113885411;8187,549741031;6321,172400759;15389,272961110;1696,305398619;63433,550508326
Corse;121,327292279;529,304767843;272,033998196;135,496266668;0;6,100872637;20,953415623;94,720214719;711,209725847;1857,985204282;866,872560608;370,084667478;621,027976195;169,312222238;185,843977993;918,599810913;559,252528803;2511,523994526;235,522824366;7799,882349090
Grand Est;3798,696475898;26716,138005062;4225,444016675;5168,680604779;1,404211809;3044,767257113;1993,382873260;12282,459041426;8010,570006141;23142,445619703;13932,668001452;5835,850514963;3373,927103287;3044,427551844;4039,637367466;17181,029046951;11903,913419506;34975,601634741;3617,221826075;136429,680953387
Hauts-de-France;2523,007569157;24205,057789369;3628,666567900;4768,730270291;62,857499389;1589,297493190;2122,465141898;12033,0408167;7959,333069147;24233,322793820;14385,546080722;6855,712437820;2992,064275278;3411,889792162;4329,672975698;17372,912032148;14738,327264919;39043,593323537;3399,126527777;141216,243137734
Île-de-France;349,714568056;55687,887975672;14005,675211757;4471,649030791;304,958126517;6806,325010086;8888,391079500;21210,889517022;24026,823472021;115729,727432766;69779,631442286;30189,604626275;15760,491364205;59943,715738980;43260,582628974;76289,698363129;121690,790593741;95476,036993103;19855,647069109;612310,624835552
Normandie;1721,972212053;17683,295189887;2226,175641419;2614,299245259;1356,703845968;1422,717248815;1667,240458348;8396,158750078;5105,501191354;13483,520632565;7388,791808881;4056,154528911;2038,574294774;1163,074789375;2185,487203887;10679,137305747;7317,025954789;21125,182051767;2293,838463661;82758,034995086
Nouvelle-Aquitaine;6296,222222048;21259,458099492;3809,337389932;4496,068207846;14,911383594;1990,533414284;2295,559506657;8653,048197178;9085,594498742;26011,844588458;15140,635908212;6437,636857308;4433,571822938;3601,827151697;5370,472891907;20064,785434689;13821,976902461;38983,899211068;4394,655448798;148890,736449359
Occitanie;3213,954689185;19687,350217837;3712,631107745;2796,928109633;42,694132107;1548,345247341;5379,173985508;6207,577635503;8811,061419853;24174,504005520;14284,360509156;5658,866241548;4231,277254815;5286,630760844;3763,954559791;19194,109920007;17575,760597783;39303,991911708;4396,231322867;145407,549405395
Pays de la Loire;2475,989238926;17847,305510910;2357,559703557;4286,569049183;175,432756568;2025,693606374;1984,231835017;7017,818560210;6559,938288579;16814,553478274;10085,283141157;4315,442998210;2413,827338907;3540,847937869;3703,138081428;12312,936859756;10880,054090550;22068,282591552;2875,879871663;99078,925949507
